Linha,Município,Estado,Ano,Mês,Focos,AnoMes,Latitude,Longitude,Bioma
0,CAMPOS DOS GOYTACAZES (RIO DE JANEIRO),RIO DE JANEIRO,2010,1,1,2010-01,-21.552,-41.302,Mata Atlantica
1,MACAE (RIO DE JANEIRO),RIO DE JANEIRO,2010,1,1,2010-01,-22.284,-41.74,Mata Atlantica
2,DUQUE DE CAXIAS (RIO DE JANEIRO),RIO DE JANEIRO,2010,1,2,2010-01,-22.7565,-43.2745,Mata Atlantica
3,CACHOEIRAS DE MACACU (RIO DE JANEIRO),RIO DE JANEIRO,2010,1,1,2010-01,-22.617,-42.654,Mata Atlantica
4,RIO DE JANEIRO (RIO DE JANEIRO),RIO DE JANEIRO,2010,1,1,2010-01,-23.005,-43.597,Mata Atlantica
5,CAMPOS DOS GOYTACAZES (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,9,2010-02,-21.63133333,-41.37566667,Mata Atlantica
6,MACAE (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,8,2010-02,-22.283875,-41.848,Mata Atlantica
7,CACHOEIRAS DE MACACU (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,6,2010-02,-22.61466667,-42.901,Mata Atlantica
8,RIO DE JANEIRO (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,2,2010-02,-22.8805,-43.6475,Mata Atlantica
9,ITATIAIA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-22.448,-44.495,Mata Atlantica
10,NOVA FRIBURGO (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,3,2010-02,-22.27066667,-42.49533333,Mata Atlantica
11,BOM JARDIM (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-22.235,-42.457,Mata Atlantica
12,ITAPERUNA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,4,2010-02,-21.2125,-41.94025,Mata Atlantica
13,RIO DAS OSTRAS (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,2,2010-02,-22.4485,-41.905,Mata Atlantica
14,MARICA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,6,2010-02,-22.905,-42.82783333,Mata Atlantica
15,RIO BONITO (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,5,2010-02,-22.7536,-42.5006,Mata Atlantica
16,SAQUAREMA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,3,2010-02,-22.87766667,-42.604,Mata Atlantica
17,TERESOPOLIS (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,2,2010-02,-22.2985,-42.922,Mata Atlantica
18,COMENDADOR LEVY GASPARIAN (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-22.051,-43.163,Mata Atlantica
19,TRES RIOS (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,2,2010-02,-22.1325,-43.11,Mata Atlantica
20,CASIMIRO DE ABREU (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,4,2010-02,-22.539,-42.167,Mata Atlantica
21,BOM JESUS DO ITABAPOANA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-21.156,-41.63,Mata Atlantica
22,MAGE (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-22.657,-43.169,Mata Atlantica
23,ARARUAMA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,4,2010-02,-22.79975,-42.2995,Mata Atlantica
24,VASSOURAS (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-22.285,-43.52,Mata Atlantica
25,SAO PEDRO DA ALDEIA (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,3,2010-02,-22.79866667,-42.121,Mata Atlantica
26,SAO SEBASTIAO DO ALTO (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-21.852,-42.022,Mata Atlantica
27,IGUABA GRANDE (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,2,2010-02,-22.831,-42.215,Mata Atlantica
28,ARMACAO DOS BUZIOS (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,1,2010-02,-22.8,-41.975,Mata Atlantica
29,SILVA JARDIM (RIO DE JANEIRO),RIO DE JANEIRO,2010,2,10,2010-02,-22.5677,-42.2396,Mata Atlantica
